X_C,Y_C,X_L,Y_L,X_R,Y_R,Psi_Int
104.52846326765345,5.478104631726751,104.78978442582259,2.9917998933060517,104.26714210948433,7.964409370147337,-3.0368728984701336
104.18014218378758,5.441556280091845,104.44059253924705,2.9551601707920554,103.91969182832811,7.927952389391521,-3.037223131764848
103.83180832083526,5.405129924336848,104.09138784163734,2.9186427491476934,103.57222880003317,7.891617099526002,-3.0375733650595627
103.48346172152473,5.3688255689298785,103.74217037582854,2.882247632852227,103.22475306722092,7.855403505007644,-3.0379235983542774
103.13510242858513,5.332643218324392,103.3929401846566,2.8459748263701385,102.87726467251368,7.8193116102785325,-3.0382738316489917
102.78673048474717,5.296582876958269,103.04369731095903,2.809824334150562,102.5297636585353,7.783341419765861,-3.0386240649437064
102.43834593274376,5.260644549255062,102.69444179757562,2.7737961606281942,102.1822500679119,7.74749293788193,-3.038974298238421
102.0899488153087,5.22482823962298,102.34517368734697,2.737890310222042,101.83472394327042,7.711766169023917,-3.0393245315331354
101.74153917517732,5.189133952455336,101.99589302311527,2.7021067873364473,101.48718532723937,7.676161117574225,-3.03967476482785
101.39311705508719,5.1535616921306655,101.64659984772491,2.6664455963609726,101.13963426244948,7.6406777879003585,-3.040024998122565
101.04468249777668,5.118111463012156,101.29729420402111,2.6309067416696053,100.79207079153224,7.605316184354592,-3.040375231417279
100.69623554598574,5.082783269448441,100.9479761348507,2.595490227622008,100.44449495712077,7.570076311274875,-3.040725464711994
100.34777624245648,5.04757711577281,100.59864568306261,2.560196058562269,100.09690680185032,7.534958172983465,-3.0410756980067086
99.99930462993187,5.012493006304112,100.2493028915067,2.525024238819924,99.74930636835704,7.499961773788414,-3.041425931301423
99.65082075115639,4.9775309453455066,99.89994780303428,2.4899747727088197,99.4016936992785,7.46508711798208,-3.0417761645961376
99.30232464887668,4.942690937185716,99.55058046049886,2.4550476645287063,99.05406883725448,7.4303342098427265,-3.0421263978908524
98.95381636584023,4.907972986098343,99.20120090675482,2.4202429185636447,98.70643182492562,7.395703053633156,-3.0424766311855667
98.605295944796,4.873377096341983,98.851809184658,2.385560539082803,98.35878270493401,7.361193653601049,-3.0428268644802814
98.25676342849513,4.838903272160337,98.50240533706638,2.3510005303406842,98.0111215199239,7.326806013979876,-3.043177097774996
97.90821885968957,4.804551517781874,98.1529894068388,2.316562896576329,97.66344831254035,7.29254013898742,-3.0435273310697104
97.55966228113276,4.770321837420624,97.8035614368356,2.2822476420142266,97.31576312542992,7.258396032827136,-3.043877564364425
97.21109373558023,4.736214235275156,97.45412146991919,2.248054770863291,96.96806600124128,7.2243736996869075,-3.04422779765914
96.86251326578838,4.702228715529031,97.10466954895284,2.213984287317885,96.6203569826239,7.190473143740178,-3.044578030953854
96.51392091451501,4.668365282351374,96.7552057168013,2.18003619555725,96.27263611222872,7.156694369145498,-3.044928264248569
96.16531672452008,4.634623939895732,96.40573001633139,2.146210499745507,95.92490343270879,7.123037380046071,-3.0452784975432836
95.81670073856435,4.601004692301103,96.05624249041077,2.112507204031772,95.57715898671795,7.089502180570321,-3.045628730837998
