X_C,Y_C,X_L,Y_L,X_R,Y_R,Psi_Int
86.60254037844388,50.00000000000001,88.76760388790497,48.75000000000001,84.43747686898277,51.25000000000001,-2.0943951023931953
86.42689294170339,49.69699634769966,88.58756526524597,48.43942125639215,84.2662206181608,50.95457143900717,-2.0978974353403412
86.25018536473205,49.39460972831685,88.40643999885035,48.12947497152477,84.09393073061375,50.65974448510893,-2.1013997682874868
86.07241981508213,49.09284385102368,88.22423031045919,47.820164947299276,83.92060931970508,50.36552275474809,-2.1049021012346327
85.89359847328342,48.79170241737805,88.0409384351155,47.5114949778125,83.74625851145133,50.0719098569436,-2.1084044341817787
85.71372353281632,48.491189121278175,87.85656662113672,47.203468849310134,83.5708804444959,49.778909393246224,-2.1119067671289242
85.53279720008504,48.191307648917416,87.67111713008717,46.89609034014035,83.39447727008292,49.48652495769448,-2.11540910007607
85.35082169439055,47.8920616787389,87.4845922367503,46.58936322070737,83.21705115203078,49.19476013677042,-2.118911433023216
85.16779924790325,47.59345488139052,87.29699422910082,46.28329125342528,83.03860426670566,48.90361850935575,-2.1224137659703617
84.9837321056357,47.295490919679885,87.10832540827658,45.97787819267188,82.85913880299479,48.61310364668789,-2.1259160989175077
84.79862252541498,46.99817344852932,86.91858808855037,45.673127784742555,82.67865696227962,48.32321911231609,-2.1294184318646536
84.61247277785515,46.70150611493115,86.72778459730152,45.36904376780443,82.49716095840876,48.03396846205787,-2.132920764811799
84.42528514632919,46.405492557902825,86.53591727498741,45.0656298718504,82.31465301767096,47.74535524395526,-2.136423097758945
84.23706192694115,46.11013640844246,86.3429884751147,44.76288981865352,82.13113537876762,47.457382998231395,-2.139925430706091
84.047805428498,45.81544128948411,86.14900056421044,44.46082732172122,81.94661029278554,47.170055257247014,-2.1434277636532366
83.8575179724811,45.52141081585345,85.95395592179312,44.15944608624978,81.76108002316907,46.88337554545711,-2.1469300966003826
83.666201893018,45.22804859422342,85.75785694034344,43.858749809079,81.57454684569255,46.597347379367825,-2.1504324295475286
83.4738595368536,44.9353582230699,85.56070602527494,43.558742178646646,81.38701304843227,46.31197426749315,-2.153934762494674
83.28049326332149,44.64334329262771,85.36250559490452,43.25942687494341,81.19848093173844,46.02725971031202,-2.15743709544182
83.08610544431492,44.35200738484648,85.1632580804228,42.96080756946764,81.00895280820706,45.74320720022532,-2.160939428388966
82.89069846425781,44.06135407334667,84.96296592586425,42.662887925180335,80.81843100265137,45.459820221513006,-2.1644417613361115
82.69427472007536,43.771386923375864,84.76163158807724,42.36567159646026,80.62691785207348,45.17710225029147,-2.1679440942832575
82.49683662116476,43.482109491764916,84.55925753669388,42.069162229059046,80.43441570563564,44.895056754470794,-2.1714464272304035
82.29838658936565,43.193525326884426,84.35584625409979,41.773363460056544,80.24092692463151,44.613687193712316,-2.174948760177549
82.09892705893029,42.9056379686011,84.15140023540354,41.47827891781613,80.04645388245703,44.33299701938607,-2.178451093124695
81.89846047649382,42.61845094823441,83.94592198840617,41.18391222194027,79.85099896458148,44.05298967452855,-2.181953426071841
81.69698930104421,42.33196778851329,83.73941403357031,40.89026698322613,79.6545645685181,43.77366859380046,-2.1854557590189865
81.49451600389206,42.046192003532845,83.53187890398937,40.597346803621164,79.45715310379475,43.495037203444525,-2.1889580919661324
81.29104306864036,41.76112709871133,83.32331914535638,40.30515527617911,79.25876699192436,43.21709892124354,-2.192460424913278
81.08657299115396,41.476776570747056,83.11373731593281,40.01369598501573,79.0594086663751,42.939857156478375,-2.195962757860424
80.88110827952899,41.193143907575646,82.90313598651721,39.72297250526504,78.85908057254076,42.66331530988626,-2.1994650908075695
80.67465145406206,40.91023258832708,82.6915177404136,39.43298840303525,78.6577851677105,42.3874767736189,-2.2029674237547154
80.46720504721938,40.62804608328313,82.47888517339986,39.14374723536521,78.4555249210389,42.11234493120105,-2.2064697567018614
80.25877160360572,40.346587853834784,82.26524089369586,38.85525255018065,78.25230231351557,41.83792315748891,-2.209972089649007
80.04935367993312,40.065861352439725,82.05058752193145,38.567507886250716,78.04811983793479,41.564214818628734,-2.213474422596153
79.83895384498959,39.78587002258007,81.83492769111433,38.280516773144576,77.84297999886485,41.29122327201557,-2.216976755543299
79.62757467960758,39.50661729872002,81.61826404659776,37.99428273118803,77.63688531261738,41.018951866252024,-2.2204790884904444
79.41521877663232,39.22810660626388,81.40059924604812,37.70880927142048,77.4298383072165,40.74740394110728,-2.2239814214375904
79.20188874089,38.95034136151387,81.18193595941224,37.42409989555172,77.22184152236774,40.47658282747603,-2.2274837543847363
78.98758718915586,38.673324971628375,80.96227686888476,37.140158095919084,77.01289750942696,40.20649184733767,-2.230986087331882
78.7723167501221,38.397060834580046,80.74162466887516,36.856987355444545,76.80300883136906,39.93713431371554,-2.234488420279028
78.55608006436555,38.12155233911416,80.51998206597469,36.57459114759202,76.59217806275642,39.66851353063631,-2.237990753226174
78.33887978431537,37.84680286470707,80.29735177892326,36.29297293632475,76.38040778970749,39.4006327930894,-2.2414930861733193
78.12071857422045,37.57281578152474,80.07373653857596,36.01213617606285,76.16770060986494,39.13349538698662,-2.2449954191204653
77.90159911011679,37.299594450381335,79.84913908786972,35.732084311640875,75.95405913236387,38.8671045891218,-2.2484977520676113
77.68152407979461,37.02714222269813,79.62356218178948,35.452820778265576,75.73948597779975,38.60146366713067,-2.252000085014757
77.46049618276545,36.755462440462274,79.3970085873346,35.17434900147383,75.52398377819632,38.33657587945071,-2.2555024179619028
77.23851813022901,36.48455843618591,79.16948108348474,34.896672397090555,75.3075551769733,38.07244447528126,-2.2590047509090487
77.0155926450399,36.21443353286515,78.9409824611659,34.619794371186785,75.0902028289139,37.809072694543524,-2.2625070838561943
76.79172246167421,35.9450910439395,78.71151552321608,34.34371832003798,74.87192940013236,37.546463767841004,-2.2660094168033402
76.5669103261961,35.67653427325105,78.481083084351,34.06844763008232,74.65273756804119,37.28462091641977,-2.269511749750486
76.3411589962239,35.40876651500403,78.24968797112949,33.793985677879135,74.43263002131829,37.02354735212893,-2.2730140826976317
76.11447124089648,35.14179105372442,78.01733302191889,33.52033583006752,74.21160945987407,36.763246277381306,-2.2765164156447777
75.8868498408392,34.87561116421956,77.78402108686018,33.24750144332505,73.98967859481822,36.50372088511408,-2.2800187485919237
75.6582975881298,34.610230111538144,77.54975502783304,32.9754858643266,73.76684014842655,36.24497435874969,-2.283521081539069
75.42881728626412,34.34565115092998,77.31453771842072,32.70429242970323,73.54309685410752,35.98700987215673,-2.287023414486215
75.19841175012183,34.08187752780623,77.07837204387488,32.433924466001386,73.31845145636878,35.72983058961107,-2.290525747433361
74.96708380593178,33.81891247769947,76.84126090108008,32.164385289641956,73.09290671078348,35.473439665756985,-2.2940280803805067
74.73483629123733,33.5567592262241,76.60320719851826,31.89567820687971,72.8664653839564,35.21784024556851,-2.2975304133276526
74.50167205486169,33.29542098903673,76.36421385623323,31.62780651376265,72.63913025349015,34.963035464310806,-2.301032746274798
74.26759395687277,33.0349009717967,76.1242838057946,31.36077349609161,72.41090410795096,34.70902844750178,-2.304535079221944
74.0326048685483,32.77520237012685,75.88341999026201,31.094582429380026,72.1817897468346,34.455822310873685,-2.3080374121690896
73.79670767234043,32.51632836957424,75.64162536414895,30.829236578813592,71.95178998053193,34.20342016033487,-2.3115397451162356
73.5599052618405,32.2582821455711,75.3989028933865,30.56473919921038,71.72090763029449,33.95182509193182,-2.3150420780633816
73.3222005417435,32.00106686339595,75.15525555528708,30.301093534980836,71.48914552819991,33.701040191811046,-2.318544411010527
73.08359642781241,31.7446856781346,74.91068633850773,30.038302820087964,71.2565065171171,33.45106853618124,-2.322046743957673
72.8440958468425,31.48914173464165,74.66519824301356,29.77637027800769,71.02299345067144,33.20191319127561,-2.325549076904819
72.60370173662541,31.23443816750178,74.41879428004106,29.515299121689324,70.78860919320978,32.95357721331423,-2.3290514098519646
72.36241704591303,30.98057810099135,74.17147747206086,29.255092553516135,70.55335661976521,32.70606364846657,-2.3325537427991105
72.12024473438146,30.727564649040062,73.92325085274099,28.99575376526606,70.31723861602192,32.459375532814065,-2.3360560757462565
71.87718777259461,30.475400915192793,73.67411746690948,28.737285938072617,70.08025807827974,32.21351589231297,-2.339558408693402
71.63324914196784,30.22408999257148,73.42408037051703,28.479692242385767,69.84241791341864,31.96848774275719,-2.343060741640548
71.38843183473128,29.9736349638372,73.17314263059956,28.22297583793312,69.603721038863,31.724294089741264,-2.346563074587694
71.14273885389325,29.724038901152355,72.92130732524058,27.967139873681162,69.36417038254592,31.480937928623547,-2.3500654075348395
70.89617321320334,29.47530486614302,72.66857754353342,27.712187487796598,69.12376888287325,31.238422244489456,-2.3535677404819855
70.64873793711547,29.227435909861356,72.41495638554336,27.458121807607895,68.88251948868758,30.996750012114816,-2.3570700734291314
70.40043606075078,28.98043507274815,72.16044696226955,27.20494594956685,68.64042515923201,30.75592419592944,-2.360572406376277
70.15127062986043,28.734305384595586,71.90505239560694,26.952663019210476,68.39748886411392,30.515947749980697,-2.364074739323423
69.90124470078821,28.489049864510065,71.64877581830791,26.70127611112281,68.15371358326851,30.276823617897307,-2.367577072270569
69.65036134043305,28.24467152087513,71.39162037394388,26.450788308897003,67.90910230692222,30.038554732853257,-2.3710794052177144
69.39862362621143,28.001173351314605,71.13358921686671,26.20120268509747,67.66365803555614,29.80114401753174,-2.3745817381648604
69.1460346460196,27.758558342655846,70.87468551217009,25.952522301222245,67.4173837798691,29.564594384089446,-2.3780840711120064
68.89259749819568,27.51682947089303,70.61491243565058,25.70475020766534,67.17028256074079,29.328908734120702,-2.381586404059152
68.63831529148175,27.275989701150678,70.35427317376879,25.457889443679434,66.9223574091947,29.094089958621907,-2.385088737006298
68.38319114498563,27.03604198764735,70.09277092361027,25.211943037338543,66.67361136636099,28.860140937956174,-2.388591069953444
68.12722818814262,26.79698927365935,69.8304088928462,24.966914005500826,66.42404748343907,28.62706454181786,-2.3920934029005894
67.87042956067718,26.558834491484575,69.5671902996941,24.72280535377169,66.17366882166026,28.39486362919746,-2.3955957358477353
67.61279841256436,26.321580562406638,69.30311837287847,24.479620076466816,65.92247845225025,28.163541048346474,-2.3990980687948813
67.35433790399115,26.085230396659014,69.03819635159094,24.237361156575503,65.67047945639138,27.93309963674254,-2.402600401742027
67.0950512053178,25.849786893389293,68.77242748545075,23.996031565724024,65.41767492518485,27.703542221054562,-2.406102734689173
66.83494149703883,25.615252940623662,68.50581503446479,23.755634264139246,65.16406795961285,27.474871617108064,-2.4096050676363188
66.57401196974406,25.381631415231453,68.23836226898766,23.516172200612246,64.90966167050045,27.24709062985066,-2.4131074005834643
66.31226582407953,25.148925182889897,67.97007246968153,23.277648312462134,64.65445917847754,27.020202053317647,-2.41660973353061
66.0497062707081,24.91713709804891,67.7009489274758,23.04006552550014,64.3984636139404,26.794208670597698,-2.420112066477756
65.78633653027023,24.686270003896155,67.43099494352698,22.80342675399355,64.14167811701347,26.569113253798747,-2.4236143994249018
65.52215983334436,24.456326732322097,67.16021382917798,22.567734900630157,63.88410583751075,26.34491856401405,-2.4271167323720473
65.25717942040733,24.227310103885287,66.88860890591751,22.332992856482406,63.625749934897144,26.121627351288154,-2.4306190653191933
64.99139854179458,23.99922292777778,66.61618350533945,22.099203500972223,63.36661357824972,25.899242354583336,-2.434121398266339
64.72482045766041,23.772068001790686,66.34294096910193,21.866369701835453,63.1066999462189,25.67776630174592,-2.4376237312134847
64.45744843793783,23.545848112279828,66.06888464888627,21.634494315086812,62.84601222698938,25.45720190947283,-2.4411260641606307
64.18928576229851,23.320566034131545,65.79401790635598,21.403580184984833,62.584553618241046,25.237551883278257,-2.4446283971077767
63.92033572011261,23.096224530728676,65.51834411311542,21.173630143996903,62.3223273271098,25.018818917460464,-2.448130730054922
63.650601610408366,22.872826353916736,65.24186665066857,20.944647012764662,62.059336570148155,24.801005695068824,-2.451633063002068
63.38008674183162,22.650374243969992,64.96458891037742,20.716633600069244,61.79558457328583,24.58411488787074,-2.455135395949214
63.10879443260527,22.428870929558016,64.6865142934204,20.48959270279697,61.53107457179014,24.368149156319063,-2.4586377288963597
62.836728010488585,22.20831912771213,64.4076462107508,20.263527105904927,61.26580981022637,24.15311114951932,-2.4621400618435056
