actor_ent_target,actor_entropy,actor_loss,alpha_loss,alpha_value,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,frame,step,total_time
-20.0,10.332901557286581,-1.1491606483856838,3.03160967429479,0.09993498388540552,-2.739379797065467,251.0,3151.217300147341,0.25807308039644306,0.25193367101121367,-1.821340184462698,6.0,68.0,-2.563002586364746,257,257.0,126.13951778411865
-20.0,11.08760674794515,-1.3987954258918762,3.1042441527048745,0.09984478755580457,-2.2437775847502053,282.0,2538.217372611165,0.6373520726338029,0.6210496239364147,-1.2285249223932624,7.0,32.0,-0.9758023619651794,289,289.0,134.24290466308594
-20.0,11.6357346534729,-1.4490706324577332,3.156429576873779,0.09976423625529077,-2.1135098791122435,331.0,2337.131483154297,0.6943278408050537,0.6546634745597839,-1.0297835075855255,8.0,50.0,-3.794046401977539,339,339.0,145.23109436035156
-20.0,12.067906924656459,-1.3978108508246285,3.1967979839869907,0.09967831635805521,-1.9076731394444193,365.0,2041.5248589651926,0.6988456853798457,0.6446445073400225,-0.7741640440055302,9.0,35.0,-0.7324165105819702,374,374.0,152.58802819252014
-20.0,12.235308374677386,-1.138845750263759,3.2111990792410716,0.09960732915896528,-1.4834409552729793,400.0,1519.772517018848,0.7296764660212729,0.6645729458994336,-0.320251249604755,10.0,36.0,-1.8993861675262451,410,410.0,157.8670196533203
-20.0,12.429946385897123,-0.5021150170897062,3.2272959489088793,0.09950578489009579,-1.386567540696034,464.0,1323.1300632476807,0.76181157208406,0.7171125331750283,-0.19609932670226463,11.0,65.0,-3.404550552368164,475,475.0,172.56901359558105
-20.0,12.600921273231506,1.9400808447195839,3.238193541765213,0.09931817319731862,-1.3329995561104555,580.0,1050.935574784238,0.5529248253402547,0.512648045602772,-0.19044842093418807,12.0,117.0,-4.622845649719238,592,592.0,197.1440498828888
-20.0,12.239872759038752,5.445942055095326,3.196634747765281,0.09914156439502415,-1.0485633555134493,635.0,634.3181114877973,0.27134172059595585,0.2324219292828015,-0.1975196897983551,13.0,56.0,-1.990107774734497,648,648.0,209.75679302215576
0.0,0.0,0.0,0.0,0.0,-0.6412210464477539,635.0,349.0127258300781,0.41782379150390625,0.4557873010635376,0.11498996615409851,14.0,1.0,-563.576171875,649,649.0,210.0682713985443
-20.0,12.254106521606445,6.221307754516602,3.195786476135254,0.09907155021248792,-1.3070809726736374,648.0,705.4902624402728,-0.013780616223812103,-0.07320493459701538,-0.6152926427977425,15.0,14.0,-1.398241400718689,663,663.0,211.59973549842834
0.0,0.0,0.0,0.0,0.0,-2.3870668411254883,648.0,1254.589111328125,0.025159969925880432,0.1405183970928192,-1.7230916023254395,16.0,1.0,-521.427978515625,664,664.0,211.76712822914124
-20.0,12.135486841201782,7.11794126033783,3.1829115748405457,0.09903667853036141,-0.9184179958936415,666.0,460.00160267478543,0.017606442696169802,-0.03714271458356004,-0.29124998732617025,17.0,19.0,-1.1333518028259277,683,683.0,213.8808150291443
-20.0,12.082925796508789,7.528312683105469,3.1761112610499063,0.09898699474507604,-0.8195813283324241,695.0,376.31611715952556,-0.03856940194964409,-0.05579699787000815,-0.32087116489807765,18.0,30.0,-4.233203411102295,713,713.0,221.15213108062744
-20.0,12.049956321716309,7.291251182556152,3.17173433303833,0.09895229472761395,-0.4522397393981616,700.0,191.71709950764975,0.02210240438580513,-0.04737530338267485,-0.07703554878632228,19.0,6.0,-547.6768188476562,719,719.0,222.8891899585724
-20.0,12.088518142700195,7.79391622543335,3.175232410430908,0.0989423938748278,-1.221894991894563,702.0,609.4643224080404,-0.5119588871796926,-0.43797502915064496,-0.8661195735136668,20.0,3.0,-551.2098999023438,722,722.0,223.573100566864
0.0,0.0,0.0,0.0,0.0,-1.227834701538086,702.0,523.745361328125,-0.9054204225540161,-0.9772697687149048,-0.9671716094017029,21.0,1.0,-557.213623046875,723,723.0,223.8365921974182
-20.0,11.868788909912109,8.776541328430175,3.152544546127319,0.09891275366227016,-2.0340453134133267,727.0,1481.0461902618408,-1.2917171468814979,-1.3450922295451164,-1.7908293994573445,22.0,26.0,-0.6595858335494995,749,749.0,226.76076102256775
-20.0,11.636546897888184,9.344766807556152,3.127237010002136,0.0988389935853647,-2.193182907998562,774.0,1515.7824223836262,-2.034816571200887,-2.083090267765025,-2.2384148140748343,23.0,48.0,-2.4664995670318604,797,797.0,237.27577233314514
0.0,0.0,0.0,0.0,0.0,-1.199929118156433,774.0,880.3077392578125,-1.1019576787948608,-1.2742526531219482,-1.459829568862915,24.0,1.0,-568.5584716796875,798,798.0,237.573481798172
-20.0,11.377159663609095,9.557229178292411,3.0989881243024553,0.0987559556277152,-2.45036565173756,806.0,1660.8814123905067,-2.426963326154333,-2.471376238447247,-2.7889735861258074,25.0,33.0,-2.578427314758301,831,831.0,246.07882452011108
-20.0,11.132492780685425,8.857079267501831,3.073158919811249,0.09870258405534978,-2.035808913733648,828.0,1277.8192244819973,-2.5468685575153516,-2.58634672994199,-2.57439802263094,26.0,23.0,-0.8987617492675781,854,854.0,251.4293360710144
-20.0,10.873185475667318,8.250356038411459,3.0456287066141763,0.09863997028915868,-2.057010323471493,872.0,1254.193025716146,-2.526069294744068,-2.5629648168881736,-2.809767479366726,27.0,45.0,-4.4051384925842285,899,899.0,257.7703764438629
-20.0,10.399782453264509,8.73923669542585,2.995594314166478,0.09853030030043375,-1.9696343974835837,938.0,1119.452382215813,-2.980132126652483,-3.0151264778713682,-3.1277094687988507,28.0,67.0,-2.2367255687713623,966,966.0,273.7773640155792
-20.0,9.882151126861572,8.595930147171021,2.941204380989075,0.09841728923712852,-1.6541936026513577,987.0,851.7860542297364,-3.075900413990021,-3.0972609376907347,-3.247118215560913,29.0,50.0,-2.90997314453125,1016,1016.0,287.5498583316803
-20.0,9.472362279891968,8.633465051651001,2.898943066596985,0.09835209831308711,-1.765096962824464,1006.0,971.2931304931641,-3.4851720929145813,-3.5025166392326357,-3.5716491460800173,30.0,20.0,-2.349625587463379,1036,1036.0,289.7462902069092
